Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav..Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional.Info,Author,realm,has_fly_speed,has_swim_speed
Animated Object;Broom of Attack,Small,Construct,U,15,17,50 fly,10,17,10,1,5,1,None,None,Poisonimmu;psychicimmu;blindedimmu;charmedimmu deafenedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonimmu;proneimmu,Blindsight 30,None,0.25,False;None,Curse of Strahd,NA,Wizards of the Coast,Other,1,0
Animated Object;Flying Sword,Small,Construct,U,17,17,50 fly,12,15,11,1,5,1,DEX,None,Coldres;fireres;blindedimmu;charmedimmu;deafenedimmu;exhaustionimmu;frightenedimmu paralyzedimmu;petrifiedimmu;poisonimmu,Blindsight 60,None,0.25,Antimagic;False,Monster Manual,NA,Wizards of the Coast,Other,1,0
Animated Object;Rug of Smothering,Large,Construct,U,12,33,10,17,14,10,1,3,1,None,None,Poisonimmu;psychicimmu;blindedimmu;charmedimmu;deafenedimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonimmu,Blindsight 60,None,2,Antimagic;Damage Transfer;False,Monster Manual,NA,Wizards of the Coast,Other,0,0
Animated Object;Table,Large,Construct,U,15,39,40,18,8,13,1,3,1,None,None,Poisonimmu;psychicimmu;blindedimmu;charmedimmu;deafenedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu,Blindsight 60,None,2,Antimagic Susceptibility;False Appearance;Charge,Tales from the Yawning Portal,NA,Wizards of the Coast,Other,0,0
Ankheg,Large,Monstrosity,U,14,39,30;10 burrow,17,11,13,1,13,6,None,None,None,Darkvision 60;tremorsense 60,None,2,None,Monster Manual,NA,Wizards of the Coast,Other,0,0
Assassin Vine,Large,Plant,U,13,85,5;climb 5,18,10,16,1,10,1,None,None,Coldres;fireres;blindedimmu;deafenedimmu;exhaustionimmu;proneimmu,Blindsight 30,None,3,False Appearance,Tomb of Annihilation,NA,Wizards of the Coast,Other,0,0
Assorted Beast;Aurochs,Large,Beast,U,11,38,50,20,10,19,2,12,5,None,None,None,Normal,None,2,Charge,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Assorted Beast;Cattle,Large,Beast,U,10,15,30,18,10,14,2,10,4,None,None,None,Normal,None,0.25,Charge,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Assorted Beast;Dolphin,Medium,Beast,U,12,11,swim 60,14,13,13,6,12,7,None,Perception,None,Blindsight 60,None,0.13,Charge;Hold Breath,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,1
Assorted Beast;Swarm of Rot Grubs,Medium,Beast ,U,8,22,5;climb 5,2,7,10,1,2,1,None,None,Piercingres;slashingres;charmedimmu;frightenedimmu grappledimmu;paralyzedimmu;petrifiedimmu;proneimmu;restrainedimmu,Blindsight 10,None,0.5,Swarm,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Astral Dreadnought,Gargantuan,Monstrosity,U,20,297,15;fly 80,28,7,25,5,14,18,DEX;WIS,Perception,Nonmagicalres;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu;stunnedimmu,Darkvision 120,None,21,Antimagic Cone;Astral Entity;Demiplanar Donjon;Legendary;Magic Weapons;Sever Silver Cord,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,1,0
Atropal,Huge,Undead (Titan),NE,7,225,fly 50,19,5,22,25,19,24,CON;WIS,None,Radiantweak;coldimmu;necroticimmu;nonmagicalimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;poisonedimmu;proneimmu,Darkvision 120;truesight 120,Celestial,13,Magic Resistance;Negative Energy Aura;Turn Resistance Aura;Legendary,Tomb of Annihilation,NA,Wizards of the Coast,Other,1,0
Avatar of Death,Medium,Undead,NE,20,VARIES,60;fly 60,16,16,16,16,16,16,None,None,Necroticimmu;poisonimmu;charmedimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;unconsciousimmu,Darkvision 60;truesight 60,Creator,VARIES,Incorporeal Movement;Turning Immunity,Dungeon Master's Guide,NA,Wizards of the Coast,Other,1,0
Awakened Zurkhwood,Huge,Plant,U,13,59,20,19,6,15,10,10,7,None,None,Fireweak;bludgeoningres;piercingres,Normal,Any,2,False Appearance,Out of the Abyss,NA,Wizards of the Coast,Other,0,0
Azer,Medium,Elemental,LN,17,39,30,17,12,15,12,13,10,CON,None,Fireimmu;poisonimmu;poisonimmu,Normal,Ignan,2,Heated Body;Heated Weapons;Illumination,Monster Manual,NA,Wizards of the Coast,Elemental Plane,0,0
Baba Lysaga's Creeping Hut,Gargantuan,Construct,U,16,263,30,26,7,20,1,3,3,CON;WIS;CHA,None,Poisonimmu;psychicimmu;blindedimmu;charmedimmu; deafenedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;proneimmu,Blindsight 120,None,11,False;Siege,Curse of Strahd,NA,Wizards of the Coast,Other,0,0
Balhannoth,Large,Aberration,CE,17,114,25;climb 25,17,8,18,6,15,8,CON,Perception,Blindedimmu,Blindsight 500,Deep Speech;telepathy 1 mile,11,Legendary;Lair,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Banderhobb,Large,Monstrosity,NE,15,84,30,20,12,20,11,14,8,None,Athletics;Stealth,Charmedimmu;frightenedimmu;poisonedimmu,Darkvision 120,Common;Any,5,Resonant Connection;Shadow Stealth,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Banshee,Medium,Undead,CE,12,58,40 fly,1,14,10,12,11,17,WIS;CHA,None,Acidres;fireres;lightningres;thunderres;nonmagicalres;coldimmu;necroticimmu;poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;grappledimmu;paralyzedimmu;petrifiedimmu;poisonedimmu;proneimmu;restrainedimmu,Darkvision 60,Common;Elvish,4,Detect Life;Incorporeal Movement,Monster Manual,NA,Wizards of the Coast,Other,1,0
Barghest,Large,Fiend (Shapechanger),NE,17,90,60,19,15,14,13,12,14,None,Deception;Intimidation;Perception;Stealth,Coldres;fireres;lightningres;nonmagicalres;acidimmu;poisonimmu;poisonedimmu,Blindsight 60;darkvision 60,Abyssal;Common;Goblin;Infernal;telepathy 60,4,Shapechanger;Fire Banishment;Keen Smell;Innate Spellcasting,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Basilisk,Medium,Monstrosity,U,15,52,30,16,8,15,2,8,7,STR;CON;WIS;CHA,Deception;Insight;Perception,Coldres;nonmagicalres;nonsilvered immu;fireimmu;poisonimmu;poisonedimmu,Darkvision 120,Infernal;telepathy 120,3,Barbed Hide;Devil's Sight;Magic Resistance,Monster Manual,NA,Wizards of the Coast,Other,0,0
Behir,Huge,Monstrosity,NE,17,168,50;climb 40,23,16,18,7,16,12,None,Perception;Stealth,Lightningimmu,Darkvision 90,Draconic,11,None,Monster Manual,NA,Wizards of the Coast,Other,0,0
Beholder,Large,Aberration,LE,18,180,30,10,14,18,17,15,17,STR;CON;WIS,None,Coldres;nonmagicalres;nonsilveredimmu;fireimmu;poisonimmu;poisonedimmu,Darkvision 120,Infernal;telepathy 120,13,Devil's Sight; Magic Resistance;Steadfast,Monster Manual,NA,Wizards of the Coast,Other,0,0
Beholder;Death Kiss,Large,Aberration,NE,16,161,fly 30,18,14,18,10,12,10,CON;WIS,Perception,Lightningimmu;proneimmu,Darkvision 120,Deep Speech;Undercommon,10,Lightning Blood,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,1,0
Beholder;Death Tyrant,Large,Undead,LE,19,187,50;40 climb,10,14,14,19,15,19,None,Perception;Stealth,Lightningimmu,Darkvision 90,Draconic,14,None,Monster Manual,NA,Wizards of the Coast,Other,0,0
Beholder;Gauth,Medium,Aberration,LE,15,67,fly 20,10,14,16,15,15,13,INT;WIS;CHA,Perception,Proneimmu,Darkvision 120,Deep Speech;Undercommon,6,Stunning Gaze;Death Throes,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,1,0
Beholder;Gazer,Tiny,Aberration,NE,13,13,fly 30,3,17,14,3,10,7,WIS,Perception;Stealth,Proneimmu,Darkvision 60,None,0.5,Aggressive;Mimicry,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,1,0
Beholder;Spectator,Medium,Aberration,LN,14,39,20 fly,8,14,14,13,14,11,INT;WIS;CHA,Perception,Proneimmu,Darkvision 120,Deep Speech;Undercommon,3,Antimagic Cone;Lair;Legendary,Monster Manual,NA,Wizards of the Coast,Other,1,0
Berbalang,Medium,Aberration,NE,14,38,30;fly 40,9,16,9,17,11,10,None,Arcana;History;Insight;Perception;Religion,None,Truesight 120,All,2,Spectral Duplicate;Innate Spellcasting,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,1,0
Black Earth Guard,Medium,Humanoid (Human),NE,18,39,30,17,11,14,10,10,9,None,Intimidation;Perception,None,Normal,Common,2,None,Princes of the Apocalypse,NA,Wizards of the Coast,Other,0,0
Black Earth Priest,Medium,Humanoid (Human),NE,17,45,30,15,11,14,12,10,16,None,Intimidation;Religion;Persuasion,None,Normal,Common;Terran,3,Normal Spellcasting,Princes of the Apocalypse,NA,Wizards of the Coast,Other,0,0
Black Earth;Burrowshark,Medium,Humanoid (Human),NE,18,82,30,18,12,16,10,11,13,None,Animal Handling;Athletics;Intimidation;Perception,None,Normal,Common,4,Bond of the Black Earth,Princes of the Apocalypse,NA,Wizards of the Coast,Other,0,0
Black Earth;Sacred Stone Monk,Medium,Humanoid (Human),LE,14,22,40,13,15,12,10,14,9,None,Acrobatics;Athletics;Perception,None,Tremorsense 10,Common,0.5,Unarmored Defense;Unarmored Movement,Princes of the Apocalypse,NA,Wizards of the Coast,Other,0,0
Black Earth;Stonemelder,Medium,Humanoid (Human),NE,17,75,30,15,10,16,12,11,17,None,Intimidation;Perception,None,Tremorsense 30,Common;Terran,4,Death Burst;Normal Spellcasting,Princes of the Apocalypse,NA,Wizards of the Coast,Other,0,0
Blight;Needle,Medium,Plant,NE,12,11,30,12,12,13,4,8,3,None,None,Blindedimmu;deafenedimmu,Blindsight 60,Common,0.25,None,Monster Manual,NA,Wizards of the Coast,Other,0,0
Blight;Tree,Huge,Plant,NE,15,149,30,23,10,20,6,10,3,None,None,Blindedimmu;deafenedimmu,Blindsight 60,Common;Druidic,7,False;Siege,Curse of Strahd,NA,Wizards of the Coast,Other,0,0
Blight;Twig,Small,Plant,NE,13,4,20;,6,13,12,4,8,3,None,Stealth,Fireweak;blindedimmu;deafenedimmu,Blindsight 60,Common,0.13,False Appearance,Monster Manual,NA,Wizards of the Coast,Other,0,0
Blight;Vine,Medium,Plant,NE,12,26,30,15,8,14,5,10,3,None,None,Blindedimmu;deafenedimmu,Blindsight 60,Common,0.5,False Appearance,Monster Manual,NA,Wizards of the Coast,Other,0,0
Bodak,Medium,Undead,CE,15,58,30,15,16,15,7,12,12,None,Perception;Stealth,Coldres;fireres;necroticres;nonmagicalres;lightningimmu;poisonimmu;charmedimmu;frightenedimmu;poisonedimmu,Darkvision 120,Abyssal;Any,6,Aura of Annihilation;Death Gazer;Sunlight Hypersensitivity,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Boggle,Small,Fey,CN,14,18,30;climb 30,8,18,13,6,12,7,None,Perception;Sleight of Hand;Stealth,Fireres,Darkvision 60,Sylvan,0.13,Boggle Oil;Dimensional Rift;Uncanny Smell,Volo's Guide to Monsters,NA,Wizards of the Coast,Feywild,0,0
Boneclaw,Large,Undead,CE,16,127,40,19,16,15,13,15,9,DEX;CON;WIS,Perception;Stealth,Coldres;necroticres;nonmagicalres;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;poisonedimmu,Darkvision 60,Common;Any,12,Rejuvenation;Shadow Stealth,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Bugbear,Medium,Humanoid,CE,16,27,30,15,14,13,8,11,9,None,Stealth;Survival,None,Darkvision 60,Common;Goblin,1,Brute;Surprise Attack,Monster Manual,NA,Wizards of the Coast,Other,0,0
Bugbear Chief,Medium,Humanoid,CE,17,65,30,17,14,14,11,12,11,None,Intimidation;Stealth;Survival,None,Darkvision 60,Common;Goblin,3,Brute;Hearth of Hruggek;Surprise Attack,Monster Manual,NA,Wizards of the Coast,Other,0,0
Bulette,Large,Monstrosity,U,17,94,40;40 burrow,19,11,21,2,10,5,None,Perception,None,Darkvision 60;tremorsense 60,None,5,Standing Leap,Monster Manual,NA,Wizards of the Coast,Other,0,0
Bullywug,Medium,Humanoid,NE,15,11,20;swim 40,12,12,13,7,10,7,None,Stealth,None,Normal,Own,0.25,Amphibious;Speak with Frogs;Speak with Toads;Swamp Camouflage;Standing Leap,Monster Manual,NA,Wizards of the Coast,Other,0,1
Cadaver Collector,Large,Construct,LE,17,189,30,21,14,20,5,11,8,None,None,Necroticimmu;poisonimmu;psychicimmu;nonmagicalimmu;nonadamantineimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu,Darkvision 60,All,14,Magic Resistance;Summon Specters,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Cambion,Medium,Fiend,ANY EVIL,19,82,30;fly 60,18,18,16,14,12,16,STR;CON;INT;CHA,Deception;Intimidation;Perception;Stealth,Coldres;fireres;lightningres;poisonres;nonmagicalres,Darkvision 60,Abyssal;Common;Infernal,5,Fiendish Blessing;Innate Spellcasting,Monster Manual,NA,Wizards of the Coast,Nine Hells,1,0
Carrion Crawler,Large,Monstrosity,U,13,51,30;30 climb,14,13,16,1,12,5,None,Perception,None,Darkvision 60,None,2,Keen Smell;Spider Climb,Monster Manual,NA,Wizards of the Coast,Other,0,0
Catoblepas,Large,Monstrosity,U,14,84,30,19,12,21,3,4,8,None,None,None,Darkvision 60,None,5,Keen Smell;Stench,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Cave Fisher,Medium,Monstrosity,U,16,58,20;climb 20,16,13,14,3,10,3,None,Perception;Stealth,None,Blindsight 60,None,3,Adhesive Filament;Flammable Blood;Spider Climb,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Centaur,Large,Monstrosity,NG,12,45,50,18,14,14,9,13,11,None,Athletics;Perception;Survival,None,Normal,Elvish;Sylvan,2,Charge,Monster Manual,NA,Wizards of the Coast,Other,0,0
Centaur Mummy,Large,Undead,LE,13,85,30,20,12,16,5,14,12,WIS,None,Fireweak;nonmagicalres;necroticimmu;poisonimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;poisonedimmu,Darkvision 60,Common;Sylvan,6,Charge,Tales from the Yawning Portal,NA,Wizards of the Coast,Other,0,0
Chimera,Large,Monstrosity,CE,14,114,30;fly 60,19,11,19,3,14,10,None,Perception,None,Darkvision 60,Draconic,6,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Chitine,Small,Monstrosity,CE,14,18,30;climb 30,10,14,12,10,10,7,None,Athletics;Stealth,None,Darkvision 60,Undercommon,0.5,Fey Ancestry;Sunlight Sensitivity;Web Sense; Web Walker,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Chitine;Choldrith,Medium,Monstrosity,CE,15,66,30;climb 30,12,16,12,11,14,10,None,Athletics;Religion;Stealth,None,Darkvision 60,Undercommon,3,Fey Ancestry;Normal Spellcasting;Spider Climb;Sunlight Sensitivity;Web Sense;Web Walker,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Choker,Small,Aberration,CE,16,13,30,16,14,13,4,12,7,None,Stealth,None,Darkvision 60,Deep Speech,1,Aberrant Quickness;Boneless;Spider Climb,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Chuul,Large,Aberration,CE,16,93,30;30 swim,19,10,16,5,11,5,None,Perception,Poisonimmu;poisonedimmu,Darkvision 60,Deep Speech,4,Amphibious;Sense Magic,Monster Manual,NA,Wizards of the Coast,Other,0,1
Chwinga,Tiny,Elemental,N,15,5,20;climb 20;swim 20,1,20,10,14,16,16,None,Acrobatics;Perception;Stealth,None,Blindsight 60,None,0,Evasion;Innate Spellcasting,Tomb of Annihilation,NA,Wizards of the Coast,Elemental Plane,0,1
Cloaker,Large,Aberration,CN,14,78,10;fly 40,17,15,12,13,12,14,None,Stealth,None,Darkvision 60,Deep Speech;Undercommon,8,Damage Transfer;False Appearance;Light Sensitivity,Monster Manual,NA,Wizards of the Coast,Other,1,0
Clockwork;Bronze Scout,Medium,Construct,U,13,18,30;burrow 30,10,16,11,3,14,1,None,Perception;Stealth,Poisonimmu;nonmagicalimmu;nonadamantineimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu,Darkvision 60,Creator,1,Earth Armor;Magic Resistance,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Clockwork;Iron Cobra,Medium,Construct,U,13,45,30,12,16,14,3,10,1,None,Stealth,Poisonimmu;nonmagicalimmu;nonadamantineimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu,Darkvision 60,Creator,4,Magic Resistance,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Clockwork;Oaken Bolter,Medium,Construct,U,16,58,30,12,18,15,3,10,1,None,None,Poisonimmu;nonmagicalimmu;nonadamantineimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu,Darkvision 60,Creator,5,Magic Resistance,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Clockwork;Stone Defender,Medium,Construct,U,16,52,30,19,10,17,3,10,1,None,None,"Poisonimmu,nonmagicalimmu;nonadamantineimmu;charmedimmu;exhaustionimmu;frightenedimmu;paralyzedimmu;petrifiedimmu;poisonedimmu",Darkvision 60,Creator,4,False Appearance;Magic Resistance,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Cockatrice,Small,Monstrosity,U,11,27,20;fly 40,6,12,12,2,13,5,None,None,None,Darkvision 60,None,0.5,None,Monster Manual,NA,Wizards of the Coast,Other,1,0
Corpse Flower,Large,Plant,CE,12,127,20;climb 20,14,14,16,7,15,3,None,None,Blindedimmu;deafenedimmu,Blindsight 120,None,8,Corpses;Spider Climb;Stench of Death,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Couatl,Medium,Celestial,LG,19,97,30;90 fly,16,20,17,18,20,18,CON;WIS;CHA,None,Radiantres;psychicimmu;nonmagicalimmu,Truesight 120,All;telepathy 120,4,Innate Spellcasting;Magic Weapons;Shielded Mind,Monster Manual,NA,Wizards of the Coast,Astral Plane,1,0
Crag Cat,Large,Beast,U,13,34,40,16,17,16,4,14,8,None,Perception;Stealth,None,Darkvision 60,None,1,Nondetection;Pounce;Spell Turning,Storm King's Thunder,NA,Wizards of the Coast,Other,0,0
Cranium Rat,Tiny,Beast,LE,12,2,30,2,14,10,4,11,8,None,None,None,Darkvision 30;tremorsense 60,Telepathy 30,0,Illumination;Telepathic Shroud,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Cranium Rat;Swarm,Medium,Beast ,LE,12,36,30,9,14,10,15,11,14,None,None,Bludgeoningres;piercingres;slashingres;charmedimmu;frightenedimmu;grappledimmu;paralyzedimmu;petrifiedimmu;proneimmu;restrainedimmu;stunnedimmu,Darkvision 30;tremorsense 60,Telepathy 30,5,Illumination;Innate Spellcasting;Swarm;Telepathic Shroud,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,0
Crawling Claw,Tiny,Undead,NE,12,2,20;climb 20,13,14,11,5,10,4,None,None,Poisonimmu;charmedimmu;exhaustionimmu;poisonedimmu,Blindsight 30,Common,0,Turn Immunity,Monster Manual,NA,Wizards of the Coast,Other,0,0
Crushing Wave Priest,Medium,Humanoid (Human),NE,13,52,30,15,11,14,10,11,16,None,Deception;Religion;Stealth,None,Normal,Aquan;COmmon,2,Normal Spellcasting,Princes of the Apocalypse,NA,Wizards of the Coast,Other,0,0
Crushing Wave Reaver,Medium,Humanoid (Human),NE,14,22,30,15,14,13,10,11,8,None,Athletics;Stealth,None,Normal,Common,0.5,None,Princes of the Apocalypse,NA,Wizards of the Coast,Other,0,0
Crushing Wave;Dark Tide Knight,Medium,Humanoid (Human),LE,13,58,30,17,16,14,10,11,11,None,Athletics;Stealth,None,Normal,Common,3,Bonded Mount,Princes of the Apocalypse,NA,Wizards of the Coast,Other,0,0
Crushing Wave;Fathomer,Medium,Humanoid (Human),NE,10,52,30,14,11,14,11,11,15,None,Arcana;Perception;Stealth,None,Normal,Aquan;Common,2,Shapechanger;Olhydra's Armor;Normal Spellcasting,Princes of the Apocalypse,NA,Wizards of the Coast,Other,0,0
Crushing Wave;One-Eyed Shiver,Medium,Humanoid (Human),CE,12,49,30,10,14,12,13,13,17,None,Arcana;Perception;Intimidation,Coldimmu,Normal,Common,3,Chilling Mist,Princes of the Apocalypse,NA,Wizards of the Coast,Other,0,0
Cyclops,Huge,Giant,CN,14,138,30,22,11,20,8,6,10,None,None,None,Normal,Giant,6,Poor Depth Perception,Monster Manual,NA,Wizards of the Coast,Other,0,0
Darkling,Small,Fey,CN,14,13,30,9,16,12,10,12,10,None,Acrobatics;Deception;Perception;Stealth,None,Blindsight 30;darkvision 120,Elvish;Sylvan,0.5,Death Flash;Light Sensitivity,Volo's Guide to Monsters,NA,Wizards of the Coast,Feywild,0,0
Darkling Elder,Medium,Fey,CN,15,27,30,13,17,12,10,14,13,None,Acrobatics;Deception;Perception;Stealth,None,Blindsight 30;darkvision 120,Elvish;Sylvan,2,Death Burn,Volo's Guide to Monsters,NA,Wizards of the Coast,Feywild,0,0
Darkmantle,Small,Monstrosity,U,11,22,10;fly 30,16,12,13,2,10,5,None,Stealth,None,Blindsight 60,None,0.5,Echolocation; False Appearance,Monster Manual,NA,Wizards of the Coast,Other,1,0
Death Knight,Medium,Undead,CE,20,180,30,20,11,20,12,16,18,DEX;WIS;CHA,None,Necroticimmu;poisonimmu;exhaustionimmu;frightenedimmu;poisonedimmu,Darkvision 120,Abyssal;Common,17,Magic Resistance;Marshal Undead;Spellcasting,Monster Manual,NA,Wizards of the Coast,Other,0,0
Deathlock,Medium,Undead,NE,12,36,30,11,15,10,14,12,16,INT;CHA,Arcana;History,Necroticres;nonmagicalres;nonsilveredres;poisonimmu;exhaustionimmu;poisonedimmu,Darkvision 60,Any,4,Innate Spellcasting;Normal Spellcasting;Turn Resistance,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Deathlock Mastermind,Medium,Undead,NE,13,110,30,11,16,12,15,12,17,INT;CHA,Arcana;History;Perception,Necroticres;nonmagicalres;nonsilveredres;poisonimmu;exhaustionimmu;poisonedimmu,Darkvision 120,Any,8,Innate Spellcasting;Normal Spellcasting;Turn Resistance,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Deathlock Wight,Medium,Undead,NE,12,37,30,11,14,16,12,14,16,WIS,Arcana;Perception,Necroticres;nonmagicalres;poisonimmu;exhaustionimmu;poisonedimmu,Darkvision 60,Any,3,Innate Spellcasting;Sunlight Sensitivity,Mordenkainen's Tome of Foes,NA,Wizards of the Coast,Other,0,0
Decapus,Large,Monstrosity,U,14,75,15;climb 30,15,14,14,4,10,7,None,Athletics;Perception;Stealth,None,Darkvision 60,None,4,None,The Tortle Package,NA,Wizards of the Coast,Other,0,0
Deep Scion,Medium,Humanoid (Shapechanger),NE,11,67,30;swim 40,18,13,16,10,12,14,WIS;CHA,Deception;Insight;Sleight of Hand;Stealth,None,Darkvision 120,Aquan;Common;Thieves' Cant,3,Shapechanger;Amphibious,Volo's Guide to Monsters,NA,Wizards of the Coast,Other,0,1
